ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,web,Meeting name
105,leonardis20163,2017,1.1.1 Compliance,3.0 Static Contact,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
106,leonardis20163,2017,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
107,chen2019fw,2019,1.1.3 Texture,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/abstract/document/8730428,IEEE Transactions on Haptics
108,chen2019fw,2019,1.1.3 Texture,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3411764.3445463,ACM CHI
109,chen2019fw,2019,1.1.1 Compliance,2.0 Pressure,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3411764.3445463,ACM CHI
110,chen2019fw,2019,1.1.1 Compliance,1.0 Lateral Motion,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/7027232,IEEE Transactions on Haptics
111,singhal2021juicy,2021,1.1.1 Compliance,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3126594.3126622,ACM UIST
112,singhal2021juicy,2021,1.5 Force/Motion,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3025453.3025741,ACM CHI
113,quek2015sensory,2015,Not Specified,9.1. Tool-Mediated,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/8103791,IEEE Transactions on Visualization and Computer Graphics
114,han2017frictio,2017,3.0 Abstracted,Others,2.3 Forces/Constraint Across Joint,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://doi.org/10.1109/HAPTICS45997.2020.ras.HAP20.33.99093c10,IEEE HAPTICS
115,culbertson2017waves,2017,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,4.0 Asysmetric Vibration,https://doi.org/10.1145/3341163.3346935,ACM ISWC
116,tong2017magnetic,2018,1.1.1 Compliance,9.1. Tool-Mediated,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3173574.3173894,ACM CHI
117,zarate2020contact,2020,Not Specified,9.1. Tool-Mediated,1.1 Partial Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,None,https://doi.org/10.1145/3173574.3173894,ACM CHI
118,foo2019iterative,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376333,ACM CHI
119,delazio2018force,2018,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376333,ACM CHI
120,delazio2018force,2018,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376491,ACM CHI
121,zhu2020pneusleeve,2020,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376491,ACM CHI
122,zhu2020pneusleeve,2020,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3242587.3242667,ACM UIST
123,muthukumarana2020touch,2020,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3242587.3242667,ACM UIST
124,muthukumarana2020touch,2020,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3242587.3242667,ACM UIST
125,han2018hydroring,2018,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://doi.org/10.1145/3242587.3242667,ACM UIST
126,han2018hydroring,2018,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3313831.3376190,ACM CHI
127,han2018hydroring,2018,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://doi.org/10.1145/3313831.3376190,ACM CHI
128,han2018hydroring,2018,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3290605.3300718,ACM CHI
129,han2020hapbead,2020,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://doi.org/10.1145/3290605.3300718,ACM CHI
130,han2020hapbead,2020,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/2702123.2702459,ACM CHI
131,hamdan2019springlets,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,5.0 Modularization,https://doi.org/10.1145/3313831.3376700,ACM CHI
132,hamdan2019springlets,2019,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3173574.3174116,ACM CHI
133,ion2015skin,2015,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3126594.3126609,ACM UIST
134,tseng2020skin,2020,3.0 Abstracted,9.2 Passive,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,"https://www.sciencedirect.com/science/article/abs/pii/S0924424715302090#:~:text=The%20proposed%20multimodal%20tactile%20display,patterns%20to%20the%20operator's%20skin.&text=The%20tactile%20module%20consists%20of,array%20of%20four%20tactile%20cells.",Sensors and Actuators A: Physical
135,je2018pokering,2018,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,"https://www.sciencedirect.com/science/article/abs/pii/S0924424715302090#:~:text=The%20proposed%20multimodal%20tactile%20display,patterns%20to%20the%20operator's%20skin.&text=The%20tactile%20module%20consists%20of,array%20of%20four%20tactile%20cells.",Sensors and Actuators A: Physical
136,pece2017magtics,2017,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://link.springer.com/article/10.1007/s11012-015-0270-5#citeas,Soft Mechatronics
137,gallo2015flexible,2015,1.1.1 Compliance,Not Specified,1.0 Whole Proximate Object,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://link.springer.com/article/10.1007/s11012-015-0270-5#citeas,Soft Mechatronics
138,gallo2015flexible,2015,1.2.2 Shape,Not Specified,1.0 Whole Proximate Object,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201700880,Advanced Materials
139,phung2015tactile,2015,Not Specified,Not Specified,2.0 Vibration,1.0 Encountered/free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://ieeexplore.ieee.org/abstract/document/8713412,IEEE/ASME Transactions on Mechatronics
140,phung2015tactile,2015,Not Specified,Not Specified,2.1 Stretch On Skin,1.0 Encountered/free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://doi.org/10.1145/2702123.2702569,ACM CHI
141,marette2017flexible,2017,Not Specified,Not Specified,1.1 Partial Proximate Object,1.0 Encountered/free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3313831.3376655,ACM CHI
142,chen2019development,2019,Not Specified,Not Specified,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,None,https://doi.org/10.1145/3173574.3174024,ACM CHI
143,vazquez20153d,2015,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3294109.3295622,ACM TEI
144,chang2020kirigami,2020,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,5.0 Modularization,https://doi.org/10.1145/2702123.2702516,ACM CHI
145,kato2018double,2018,1.1.3 Texture,1.0 Lateral Motion,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://doi.org/10.1145/3290605.3300470,ACM CHI
146,zheng2019mechamagnets,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,5.0 Modularization,https://doi.org/10.1145/3242587.3242615,ACM UIST
147,ogata2015fluxpaper,2015,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,None,https://doi.org/10.1145/3025453.3025702,ACM CHI
148,yasu2019magnetact,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,5.0 Modularization,https://doi.org/10.1145/3313831.3376552,ACM CHI
149,ogata2018magneto,2018,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,1.0 Spatial Distribution,https://doi.org/10.1145/3290605.3300638,ACM CHI
150,yasu2017magnetic,2017,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,None,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
151,yasu2020magnelayer,2020,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
152,mcintosh2019magnetips,2019,3.0 Abstracted,Not Specified,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,Others,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
153,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
154,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
155,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
156,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
157,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
158,wei2020elastilinks,2020,1.5 Force/Motion,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
159,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
160,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
161,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://dl.acm.org/doi/10.1145/3379337.3415836,ACM UIST
162,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/fullHtml/10.1145/3472749.3474781,ACM UIST
163,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://dl.acm.org/doi/10.1145/3472749.3474772,ACM UIST
164,wei2020elastilinks,2020,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://www.sciencedirect.com/science/article/abs/pii/S0925400515008461,Sensors and Actuators B: Chemical
165,chu2021motionring,2021,2.0 Effects,6.0 Function Test,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
166,dementyev2021vhp,2021,1.1.3 Texture,None,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
167,ganet2015haptic,2015,Not Specified,None,2.0 Vibration,Not specified,Not Specified,2.0 Material,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
168,kovacs2020haptic,2020,2.0 Effects,4.0 Unsupported Holding&5.0 Enclosure,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
169,kovacs2020haptic,2020,2.0 Effects,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
170,kovacs2020haptic,2020,2.0 Effects,9.4 Throwing,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3379337.3415854,ACM UIST
171,kovacs2020haptic,2020,1.2.1 Size&1.3.1 Mass,4.0 Unsupported Holding&5.0 Enclosure,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3266037.3266082,ACM UIST
172,kovacs2020haptic,2020,1.2.1 Size&1.3.1 Mass,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3313831.3376512,ACM CHI
173,kovacs2020haptic,2020,1.2.1 Size&1.3.1 Mass,13.0 Throwing,1.0 Whole Proximate Object,1.0 Encountered/free gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3313831.3376512,ACM CHI
174,klamka2018pushables,2018,1.4  Mechanical Mechanisms,2.0 Pressure,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,3.0 Passive,None,https://dl.acm.org/doi/10.1145/3025453.3026009,ACM CHI
175,preechayasomboon2020chasm,2020,3.0 Abstracted,2.0 Pressure,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,2.0 Material,2.0 Mechanical Mechanism,https://doi.org/10.1145/3313831.3376292,ACM CHI
176,preechayasomboon2020chasm,2020,3.0 Abstracted,2.0 Pressure,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,5.0 Ungrounded,2.0 Material,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858481,ACM CHI
177,rietzler2017vair,2017,Others,9.2 Passive,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://ieeexplore.ieee.org/document/7565473,IEEE ACCESS
178,wang2020miniature,2020,Others,Others,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3321335.3324939,ACM PerDis
179,makino2016haptoclone,2016,3.0 Abstracted,3.0 Static Contact,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/8633421,IEEE Transactions on Haptics
180,korres2016haptogram,2016,1.2.2 Shape,9.0 Scanning,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/8816101,IEEE WHC
181,freeman2019enhancing,2019,Others,9.0 Scanning,Others,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/8816137/,IEEE WHC
182,pittera2019creating,2019,3.0 Abstracted,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/8920969/,IEEE HAVE
183,ito2019midair,2019,1.4  Mechanical Mechanisms,2.0 Pressure,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3290605.3300905,ACM CHI
184,barreiro2019ultrasound,2019,Others,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3332165.3347955,ACM UIST
185,ablart2019using,2019,3.0 Abstracted,9.2 Passive,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/2807442.2807443,ACM UIST
186,sra2019adding,2019,2.0 Effects,9.2 Passive,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,None,None,https://doi.org/10.1145/2807442.2807443,ACM UIST
187,boldu2019m,2019,2.0 Effects,9.2 Passive,Others,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3025453.3025600,ACM CHI
188,lopes2015impacto,2015,2.0 Effects,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,5.0 Electrical Muscle Stimulation,None,https://ieeexplore.ieee.org/document/7494918,IEEE Transactions on Haptics
189,lopes2015impacto,2015,2.0 Effects,9.2 Passive,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,5.0 Electrical Muscle Stimulation,None,https://doi.org/10.1145/3313831.3376353,ACM CHI
190,lopes2017providing,2017,1.3.1 Mass,9.2 Passive,Others,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,5.0 Electrical Muscle Stimulation,None,https://doi.org/10.1145/2858036.2858264,ACM CHI
191,spiers2016design,2017,3.0 Abstracted,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3379337.3415862,ACM UIST
192,siu2020virtual,2020,1.2.2 Shape,9.1. Tool-Mediated,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,8.0 Track + Brake,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201702312,Small
193,jang2016haptic,2016,3.0 Abstracted,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,1.0 Spatial Distribution,https://ieeexplore.ieee.org/document/8725948,IEEE Transactions on Industrial Electronics
194,ryu2020elastick,2020,1.3.3 Mass Redistribution/Damped Oscillation,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,3.0 Elastic Material,https://ieeexplore.ieee.org/abstract/document/8581471?casa_token=jPWHsrkkq4sAAAAA:GDrZFbowCBHztVE9KKcFh4t-la4XtcCVWNZQpiOsBXk2_4UfQ8zoIcriJq3rbq8ezVTa4TAK9DY,IEEE Robotics and Automation Letters
195,tiwari2018highly,2018,1.1.3 Texture,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,1.0 Spatial Distribution,https://pubs.rsc.org/en/content/articlelanding/2015/ra/c5ra03043a,RSC Advances
196,park2019soft,2020,Not Specified,Not Specified,1.1 Partial Proximate Object,Not specified,Not Specified,2.0 Material,None,https://doi.org/10.1145/3332165.3347888,ACM UIST
197,barreiros2018fluidic,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,1.0 Encountered/free gesture,Not Specified,2.0 Material,5.0 Modularization,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201801603,Small
198,mohiuddin2015flexible,2015,Not Specified,Not Specified,2.0 Vibration,Not specified,Not Specified,2.0 Material,,https://dl.acm.org/doi/10.1145/3411764.3445676,ACM CHI
199,yoon2019hapsense,2019,Not Specified,Not Specified,2.0 Vibration,Not specified,Not Specified,2.0 Material,None,https://www.liebertpub.com/doi/10.1089/soro.2019.0113,Soft Robotics
200,jun2018electroactive,2018,1.1.3 Texture,1.0 Lateral Motion,1.1 Partial Proximate Object,1.0 Encountered/free gesture,Not Specified,2.0 Material,None,https://onlinelibrary.wiley.com/doi/full/10.1002/advs.201700410,Advanced Science
201,huppert2021guidecopter,2021,3.0 Abstracted,None,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,4.0 Moving-Off-Body,1.0 Off-The-Shelf Components,None,https://science.sciencemag.org/content/365/6449/145,Science
202,zhao2020wearable,2020,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201500673,Advanced Functional Materials
203,roy2017electroionic,2017,Not Specified,Not Specified,1.1 Partial Proximate Object,Not specified,Not Specified,2.0 Material,None,http://dx.doi.org/10.1039/C5SM00707K,Soft Matter
204,kanik2019strain,2019,Not Specified,Not Specified,1.1 Partial Proximate Object,Not specified,Not Specified,2.0 Material,None,https://www.sciencedirect.com/science/article/pii/S0924424718318636?casa_token=XkzhAeOSLrkAAAAA:BHdT8v0tq5FpwK4rHW64el4U3nDTA_oPZlIMmfOPp0LwesJZ_ZlkdAalix-SXl1y9PGBWi7z_Zx5 ,Sensors and Actuators A: Physical
205,kim2015high,2015,Not Specified,Not Specified,1.1 Partial Proximate Object,Not specified,Not Specified,2.0 Material,None,https://onlinelibrary.wiley.com/doi/abs/10.1002/admt.201700102,Advanced Materials Technologies
206,wang2016soft,2016,Not Specified,Not Specified,2.1 Stretch On Skin,Not specified,Not Specified,2.0 Material,None,https://iopscience.iop.org/article/10.1088/1361-665X/aa860d/pdf?casa_token=S0VXV4jH1XEAAAAA:zTqo8iZ4nWDq0q7iWnyE-lKScPdtqDuCKUfOiLjc5Id15NiMA46e5rwdChpM44OJ1nsgiXF38hWihjVuYpJF4Q,Smart Materials and Structures
207,carpenter2019healable,2019,Not Specified,Not Specified,2.3 Forces/Constraint Across Joint,3.0 Worn/ free gesture,2.0 Grounded-On-Different-Body-Part,2.0 Material,None,https://ieeexplore.ieee.org/document/7177691,IEEE WHC
208,besse2017flexible,2017,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/3173574.3174000,ACM CHI
209,hwang2017design,2017,Not Specified,Not Specified,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,Others,https://www.sciencedirect.com/science/article/abs/pii/S0957415818300072,Mechatronics
210,shultz2015surface,2015,Not Specified,Not Specified,1.0 Whole Proximate Object,Not specified,Not Specified,2.0 Material,None,https://ieeexplore.ieee.org/document/7101278,IEEE/ASME Transactions on Mechatronics
211,gong2018jetto,2018,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/7318573,IEEE Engineering in Medicine and Biology Society
